definition,definition_source,distinct_nonmissing_values,field,interpretation_caution,literal_header,missing_rows,nonmissing_rows,observed_storage_type,source_path,source_sha256,study_ID,table_id,units
Year when participant enrolled in the study.,data_dictionary/sources/hr_vilage/Meta_variable_description.csv,0,Enrollment_year,,Enrollment_year,471,0,all_missing_in_inspected_table,data_dictionary/sources/hr_vilage/meta/GSE73072_HRV_DUKE_meta.csv,6dfa873c8b0375604faf9c2ec6c84e9c3047718bd41fce4816769343f317366d,GSE73072_HRV_DUKE,HF:meta/GSE73072_HRV_DUKE_meta.csv,not inferred; use source-specific assay/time documentation
"Vaccine type (e.g., mRNA-1273, BNT162b2).",data_dictionary/sources/hr_vilage/Meta_variable_description.csv,0,vaccine,,vaccine,471,0,all_missing_in_inspected_table,data_dictionary/sources/hr_vilage/meta/GSE73072_HRV_DUKE_meta.csv,6dfa873c8b0375604faf9c2ec6c84e9c3047718bd41fce4816769343f317366d,GSE73072_HRV_DUKE,HF:meta/GSE73072_HRV_DUKE_meta.csv,not inferred; use source-specific assay/time documentation
"Vaccine dose number (e.g., 1st, 2nd, 3rd).",data_dictionary/sources/hr_vilage/Meta_variable_description.csv,0,vaccine_dose,,vaccine_dose,471,0,all_missing_in_inspected_table,data_dictionary/sources/hr_vilage/meta/GSE73072_HRV_DUKE_meta.csv,6dfa873c8b0375604faf9c2ec6c84e9c3047718bd41fce4816769343f317366d,GSE73072_HRV_DUKE,HF:meta/GSE73072_HRV_DUKE_meta.csv,not inferred; use source-specific assay/time documentation
Biological sex (Male/Female).,data_dictionary/sources/hr_vilage/Meta_variable_description.csv,0,sex,,sex,471,0,all_missing_in_inspected_table,data_dictionary/sources/hr_vilage/meta/GSE73072_HRV_DUKE_meta.csv,6dfa873c8b0375604faf9c2ec6c84e9c3047718bd41fce4816769343f317366d,GSE73072_HRV_DUKE,HF:meta/GSE73072_HRV_DUKE_meta.csv,not inferred; use source-specific assay/time documentation
Participant age in years.,data_dictionary/sources/hr_vilage/Meta_variable_description.csv,0,age,,age,471,0,all_missing_in_inspected_table,data_dictionary/sources/hr_vilage/meta/GSE73072_HRV_DUKE_meta.csv,6dfa873c8b0375604faf9c2ec6c84e9c3047718bd41fce4816769343f317366d,GSE73072_HRV_DUKE,HF:meta/GSE73072_HRV_DUKE_meta.csv,not inferred; use source-specific assay/time documentation
"Age category (e.g., 18–30, 31–50, >50).",data_dictionary/sources/hr_vilage/Meta_variable_description.csv,0,age_group,,age_group,471,0,all_missing_in_inspected_table,data_dictionary/sources/hr_vilage/meta/GSE73072_HRV_DUKE_meta.csv,6dfa873c8b0375604faf9c2ec6c84e9c3047718bd41fce4816769343f317366d,GSE73072_HRV_DUKE,HF:meta/GSE73072_HRV_DUKE_meta.csv,not inferred; use source-specific assay/time documentation
ImmPort experiment sample accession.,data_dictionary/sources/hr_vilage/Meta_variable_description.csv,0,immport_expsamp_acc,,immport_expsamp_acc,471,0,all_missing_in_inspected_table,data_dictionary/sources/hr_vilage/meta/GSE73072_HRV_DUKE_meta.csv,6dfa873c8b0375604faf9c2ec6c84e9c3047718bd41fce4816769343f317366d,GSE73072_HRV_DUKE,HF:meta/GSE73072_HRV_DUKE_meta.csv,not inferred; use source-specific assay/time documentation
Alternate experimental sample accession in ImmPort,data_dictionary/sources/hr_vilage/Meta_variable_description.csv,0,Expsample.Accession,,Expsample.Accession,471,0,all_missing_in_inspected_table,data_dictionary/sources/hr_vilage/meta/GSE73072_HRV_DUKE_meta.csv,6dfa873c8b0375604faf9c2ec6c84e9c3047718bd41fce4816769343f317366d,GSE73072_HRV_DUKE,HF:meta/GSE73072_HRV_DUKE_meta.csv,not inferred; use source-specific assay/time documentation
"Participant ethnicity (e.g., Hispanic, non-Hispanic).",data_dictionary/sources/hr_vilage/Meta_variable_description.csv,0,ethnicity,,ethnicity,471,0,all_missing_in_inspected_table,data_dictionary/sources/hr_vilage/meta/GSE73072_HRV_DUKE_meta.csv,6dfa873c8b0375604faf9c2ec6c84e9c3047718bd41fce4816769343f317366d,GSE73072_HRV_DUKE,HF:meta/GSE73072_HRV_DUKE_meta.csv,not inferred; use source-specific assay/time documentation
"Race as recorded in metadata (e.g., White, Asian, Black).",data_dictionary/sources/hr_vilage/Meta_variable_description.csv,0,race,,race,471,0,all_missing_in_inspected_table,data_dictionary/sources/hr_vilage/meta/GSE73072_HRV_DUKE_meta.csv,6dfa873c8b0375604faf9c2ec6c84e9c3047718bd41fce4816769343f317366d,GSE73072_HRV_DUKE,HF:meta/GSE73072_HRV_DUKE_meta.csv,not inferred; use source-specific assay/time documentation
Combined race and ethnicity classification.,data_dictionary/sources/hr_vilage/Meta_variable_description.csv,0,race_ethnicity,,race_ethnicity,471,0,all_missing_in_inspected_table,data_dictionary/sources/hr_vilage/meta/GSE73072_HRV_DUKE_meta.csv,6dfa873c8b0375604faf9c2ec6c84e9c3047718bd41fce4816769343f317366d,GSE73072_HRV_DUKE,HF:meta/GSE73072_HRV_DUKE_meta.csv,not inferred; use source-specific assay/time documentation
Indicator for sham or placebo treatment.,data_dictionary/sources/hr_vilage/Meta_variable_description.csv,2,sham,,sham,0,471,integer_like_text,data_dictionary/sources/hr_vilage/meta/GSE73072_HRV_DUKE_meta.csv,6dfa873c8b0375604faf9c2ec6c84e9c3047718bd41fce4816769343f317366d,GSE73072_HRV_DUKE,HF:meta/GSE73072_HRV_DUKE_meta.csv,not inferred; use source-specific assay/time documentation
Body Mass Index (kg/m²).,data_dictionary/sources/hr_vilage/Meta_variable_description.csv,0,BMI,,BMI,471,0,all_missing_in_inspected_table,data_dictionary/sources/hr_vilage/meta/GSE73072_HRV_DUKE_meta.csv,6dfa873c8b0375604faf9c2ec6c84e9c3047718bd41fce4816769343f317366d,GSE73072_HRV_DUKE,HF:meta/GSE73072_HRV_DUKE_meta.csv,not inferred; use source-specific assay/time documentation
Prior SARS-CoV-2 infection (Yes/No).,data_dictionary/sources/hr_vilage/Meta_variable_description.csv,0,PreviousCOVID19,,PreviousCOVID19,471,0,all_missing_in_inspected_table,data_dictionary/sources/hr_vilage/meta/GSE73072_HRV_DUKE_meta.csv,6dfa873c8b0375604faf9c2ec6c84e9c3047718bd41fce4816769343f317366d,GSE73072_HRV_DUKE,HF:meta/GSE73072_HRV_DUKE_meta.csv,not inferred; use source-specific assay/time documentation
Symptom group classification for previously infected individuals.,data_dictionary/sources/hr_vilage/Meta_variable_description.csv,0,symptom_group_previous_covid,,symptom_group_previous_covid,471,0,all_missing_in_inspected_table,data_dictionary/sources/hr_vilage/meta/GSE73072_HRV_DUKE_meta.csv,6dfa873c8b0375604faf9c2ec6c84e9c3047718bd41fce4816769343f317366d,GSE73072_HRV_DUKE,HF:meta/GSE73072_HRV_DUKE_meta.csv,not inferred; use source-specific assay/time documentation
Presence of underlying or chronic medical conditions.,data_dictionary/sources/hr_vilage/Meta_variable_description.csv,0,UnderlyingDisease,,UnderlyingDisease,471,0,all_missing_in_inspected_table,data_dictionary/sources/hr_vilage/meta/GSE73072_HRV_DUKE_meta.csv,6dfa873c8b0375604faf9c2ec6c84e9c3047718bd41fce4816769343f317366d,GSE73072_HRV_DUKE,HF:meta/GSE73072_HRV_DUKE_meta.csv,not inferred; use source-specific assay/time documentation
Indicator of whether the RNA sample was treated with TurboDNase (Thermo Fisher Scientific) to remove contaminating genomic DNA during RNA extraction. Marked as “Turbo Treated” if DNase treatment was applied.,data_dictionary/sources/hr_vilage/Meta_variable_description.csv,0,turbo_reatment,,turbo_reatment,471,0,all_missing_in_inspected_table,data_dictionary/sources/hr_vilage/meta/GSE73072_HRV_DUKE_meta.csv,6dfa873c8b0375604faf9c2ec6c84e9c3047718bd41fce4816769343f317366d,GSE73072_HRV_DUKE,HF:meta/GSE73072_HRV_DUKE_meta.csv,not inferred; use source-specific assay/time documentation
Medications taken by participant during study.,data_dictionary/sources/hr_vilage/Meta_variable_description.csv,0,Medications,,Medications,471,0,all_missing_in_inspected_table,data_dictionary/sources/hr_vilage/meta/GSE73072_HRV_DUKE_meta.csv,6dfa873c8b0375604faf9c2ec6c84e9c3047718bd41fce4816769343f317366d,GSE73072_HRV_DUKE,HF:meta/GSE73072_HRV_DUKE_meta.csv,not inferred; use source-specific assay/time documentation
Reported vaccine side effects.,data_dictionary/sources/hr_vilage/Meta_variable_description.csv,0,side_effect,,side_effect,471,0,all_missing_in_inspected_table,data_dictionary/sources/hr_vilage/meta/GSE73072_HRV_DUKE_meta.csv,6dfa873c8b0375604faf9c2ec6c84e9c3047718bd41fce4816769343f317366d,GSE73072_HRV_DUKE,HF:meta/GSE73072_HRV_DUKE_meta.csv,not inferred; use source-specific assay/time documentation
Duration (in days) of reported symptoms.,data_dictionary/sources/hr_vilage/Meta_variable_description.csv,0,Duration_of_symptoms,,Duration_of_symptoms,471,0,all_missing_in_inspected_table,data_dictionary/sources/hr_vilage/meta/GSE73072_HRV_DUKE_meta.csv,6dfa873c8b0375604faf9c2ec6c84e9c3047718bd41fce4816769343f317366d,GSE73072_HRV_DUKE,HF:meta/GSE73072_HRV_DUKE_meta.csv,not inferred; use source-specific assay/time documentation
Days since COVID-19 diagnosis at time of sampling.,data_dictionary/sources/hr_vilage/Meta_variable_description.csv,0,days.since.covid.19.diagnosis,,days.since.covid.19.diagnosis,471,0,all_missing_in_inspected_table,data_dictionary/sources/hr_vilage/meta/GSE73072_HRV_DUKE_meta.csv,6dfa873c8b0375604faf9c2ec6c84e9c3047718bd41fce4816769343f317366d,GSE73072_HRV_DUKE,HF:meta/GSE73072_HRV_DUKE_meta.csv,not inferred; use source-specific assay/time documentation
Whether vaccinated in the prior three influenza seasons (Yes/No).,data_dictionary/sources/hr_vilage/Meta_variable_description.csv,0,Vaccinated.in.prior.3.seasons,,Vaccinated.in.prior.3.seasons,471,0,all_missing_in_inspected_table,data_dictionary/sources/hr_vilage/meta/GSE73072_HRV_DUKE_meta.csv,6dfa873c8b0375604faf9c2ec6c84e9c3047718bd41fce4816769343f317366d,GSE73072_HRV_DUKE,HF:meta/GSE73072_HRV_DUKE_meta.csv,not inferred; use source-specific assay/time documentation
Number of influenza vaccinations received in the previous 10 years.,data_dictionary/sources/hr_vilage/Meta_variable_description.csv,0,influenza.vaccination.count..previous.10.years.,,influenza.vaccination.count..previous.10.years.,471,0,all_missing_in_inspected_table,data_dictionary/sources/hr_vilage/meta/GSE73072_HRV_DUKE_meta.csv,6dfa873c8b0375604faf9c2ec6c84e9c3047718bd41fce4816769343f317366d,GSE73072_HRV_DUKE,HF:meta/GSE73072_HRV_DUKE_meta.csv,not inferred; use source-specific assay/time documentation
Height in centimeters.,data_dictionary/sources/hr_vilage/Meta_variable_description.csv,0,Height_cm,,Height_cm,471,0,all_missing_in_inspected_table,data_dictionary/sources/hr_vilage/meta/GSE73072_HRV_DUKE_meta.csv,6dfa873c8b0375604faf9c2ec6c84e9c3047718bd41fce4816769343f317366d,GSE73072_HRV_DUKE,HF:meta/GSE73072_HRV_DUKE_meta.csv,not inferred; use source-specific assay/time documentation
Weight in kilograms.,data_dictionary/sources/hr_vilage/Meta_variable_description.csv,0,Weight_kg,,Weight_kg,471,0,all_missing_in_inspected_table,data_dictionary/sources/hr_vilage/meta/GSE73072_HRV_DUKE_meta.csv,6dfa873c8b0375604faf9c2ec6c84e9c3047718bd41fce4816769343f317366d,GSE73072_HRV_DUKE,HF:meta/GSE73072_HRV_DUKE_meta.csv,not inferred; use source-specific assay/time documentation
Current smoking status (Yes/No).,data_dictionary/sources/hr_vilage/Meta_variable_description.csv,0,Current.smoker,,Current.smoker,471,0,all_missing_in_inspected_table,data_dictionary/sources/hr_vilage/meta/GSE73072_HRV_DUKE_meta.csv,6dfa873c8b0375604faf9c2ec6c84e9c3047718bd41fce4816769343f317366d,GSE73072_HRV_DUKE,HF:meta/GSE73072_HRV_DUKE_meta.csv,not inferred; use source-specific assay/time documentation
Former smoking status (Yes/No).,data_dictionary/sources/hr_vilage/Meta_variable_description.csv,0,Prior.smoker,,Prior.smoker,471,0,all_missing_in_inspected_table,data_dictionary/sources/hr_vilage/meta/GSE73072_HRV_DUKE_meta.csv,6dfa873c8b0375604faf9c2ec6c84e9c3047718bd41fce4816769343f317366d,GSE73072_HRV_DUKE,HF:meta/GSE73072_HRV_DUKE_meta.csv,not inferred; use source-specific assay/time documentation
Presence of sleep apnea (Yes/No).,data_dictionary/sources/hr_vilage/Meta_variable_description.csv,0,Sleep.apnea,,Sleep.apnea,471,0,all_missing_in_inspected_table,data_dictionary/sources/hr_vilage/meta/GSE73072_HRV_DUKE_meta.csv,6dfa873c8b0375604faf9c2ec6c84e9c3047718bd41fce4816769343f317366d,GSE73072_HRV_DUKE,HF:meta/GSE73072_HRV_DUKE_meta.csv,not inferred; use source-specific assay/time documentation
Presence of diabetes (Yes/No).,data_dictionary/sources/hr_vilage/Meta_variable_description.csv,0,diabetes,,diabetes,471,0,all_missing_in_inspected_table,data_dictionary/sources/hr_vilage/meta/GSE73072_HRV_DUKE_meta.csv,6dfa873c8b0375604faf9c2ec6c84e9c3047718bd41fce4816769343f317366d,GSE73072_HRV_DUKE,HF:meta/GSE73072_HRV_DUKE_meta.csv,not inferred; use source-specific assay/time documentation
Binary or quantitative measure of antibody seroconversion.,data_dictionary/sources/hr_vilage/Meta_variable_description.csv,0,seroconversion,,seroconversion,471,0,all_missing_in_inspected_table,data_dictionary/sources/hr_vilage/meta/GSE73072_HRV_DUKE_meta.csv,6dfa873c8b0375604faf9c2ec6c84e9c3047718bd41fce4816769343f317366d,GSE73072_HRV_DUKE,HF:meta/GSE73072_HRV_DUKE_meta.csv,not inferred; use source-specific assay/time documentation
Presence or level of viral shedding post-infection or vaccination.,data_dictionary/sources/hr_vilage/Meta_variable_description.csv,0,viral_shedding,,viral_shedding,471,0,all_missing_in_inspected_table,data_dictionary/sources/hr_vilage/meta/GSE73072_HRV_DUKE_meta.csv,6dfa873c8b0375604faf9c2ec6c84e9c3047718bd41fce4816769343f317366d,GSE73072_HRV_DUKE,HF:meta/GSE73072_HRV_DUKE_meta.csv,not inferred; use source-specific assay/time documentation
Exported sample/row index; inspect uniqueness and relation to source sample accession per file.,Observed table keys; author alignment rule in dataset documentation,295,X,,X,0,295,text_or_mixed,data_dictionary/sources/hr_vilage/meta/GSE73072_HRV_UVA_meta.csv,22de955990148bed48874c3255d9f632ea034148ded51edca5676990892c0f34,GSE73072_HRV_UVA,HF:meta/GSE73072_HRV_UVA_meta.csv,not inferred; use source-specific assay/time documentation
GEO sample accession number (GSM).,data_dictionary/sources/hr_vilage/Meta_variable_description.csv,295,geo_accession,,geo_accession,0,295,text_or_mixed,data_dictionary/sources/hr_vilage/meta/GSE73072_HRV_UVA_meta.csv,22de955990148bed48874c3255d9f632ea034148ded51edca5676990892c0f34,GSE73072_HRV_UVA,HF:meta/GSE73072_HRV_UVA_meta.csv,not inferred; use source-specific assay/time documentation
Subject identifier within one study (unique per participant); useful when aligning with antibody raw data.,data_dictionary/sources/hr_vilage/Meta_variable_description.csv,20,ID,,ID,0,295,text_or_mixed,data_dictionary/sources/hr_vilage/meta/GSE73072_HRV_UVA_meta.csv,22de955990148bed48874c3255d9f632ea034148ded51edca5676990892c0f34,GSE73072_HRV_UVA,HF:meta/GSE73072_HRV_UVA_meta.csv,not inferred; use source-specific assay/time documentation
Study or cohort identifier,data_dictionary/sources/hr_vilage/Meta_variable_description.csv,1,study_ID,,study_ID,0,295,text_or_mixed,data_dictionary/sources/hr_vilage/meta/GSE73072_HRV_UVA_meta.csv,22de955990148bed48874c3255d9f632ea034148ded51edca5676990892c0f34,GSE73072_HRV_UVA,HF:meta/GSE73072_HRV_UVA_meta.csv,not inferred; use source-specific assay/time documentation
unavailable,Observed file header; biological definition not supplied in common metadata dictionary,1,study_type,,study_type,0,295,text_or_mixed,data_dictionary/sources/hr_vilage/meta/GSE73072_HRV_UVA_meta.csv,22de955990148bed48874c3255d9f632ea034148ded51edca5676990892c0f34,GSE73072_HRV_UVA,HF:meta/GSE73072_HRV_UVA_meta.csv,not inferred; use source-specific assay/time documentation
"Sample source (e.g., whole blood, PBMC, nasal swab).",data_dictionary/sources/hr_vilage/Meta_variable_description.csv,1,tissue,,tissue,0,295,text_or_mixed,data_dictionary/sources/hr_vilage/meta/GSE73072_HRV_UVA_meta.csv,22de955990148bed48874c3255d9f632ea034148ded51edca5676990892c0f34,GSE73072_HRV_UVA,HF:meta/GSE73072_HRV_UVA_meta.csv,not inferred; use source-specific assay/time documentation
"Gene expression platform used (e.g., RNA-seq, microarray, scRNA-seq).",data_dictionary/sources/hr_vilage/Meta_variable_description.csv,1,platform,,platform,0,295,text_or_mixed,data_dictionary/sources/hr_vilage/meta/GSE73072_HRV_UVA_meta.csv,22de955990148bed48874c3255d9f632ea034148ded51edca5676990892c0f34,GSE73072_HRV_UVA,HF:meta/GSE73072_HRV_UVA_meta.csv,not inferred; use source-specific assay/time documentation
"Infectious agent studied (e.g., SARS-CoV-2, influenza).",data_dictionary/sources/hr_vilage/Meta_variable_description.csv,1,pathogen,,pathogen,0,295,text_or_mixed,data_dictionary/sources/hr_vilage/meta/GSE73072_HRV_UVA_meta.csv,22de955990148bed48874c3255d9f632ea034148ded51edca5676990892c0f34,GSE73072_HRV_UVA,HF:meta/GSE73072_HRV_UVA_meta.csv,not inferred; use source-specific assay/time documentation
Technical or experimental batch ID within one study,data_dictionary/sources/hr_vilage/Meta_variable_description.csv,0,batch,,batch,295,0,all_missing_in_inspected_table,data_dictionary/sources/hr_vilage/meta/GSE73072_HRV_UVA_meta.csv,22de955990148bed48874c3255d9f632ea034148ded51edca5676990892c0f34,GSE73072_HRV_UVA,HF:meta/GSE73072_HRV_UVA_meta.csv,not inferred; use source-specific assay/time documentation
Sample title from GEO metadata.,data_dictionary/sources/hr_vilage/Meta_variable_description.csv,295,title,,title,0,295,integer_like_text,data_dictionary/sources/hr_vilage/meta/GSE73072_HRV_UVA_meta.csv,22de955990148bed48874c3255d9f632ea034148ded51edca5676990892c0f34,GSE73072_HRV_UVA,HF:meta/GSE73072_HRV_UVA_meta.csv,not inferred; use source-specific assay/time documentation
Exact time or day post-vaccination/infection.,data_dictionary/sources/hr_vilage/Meta_variable_description.csv,15,timepoint,"Common description says exact time, but source pipelines can encode pooled visits by a representative value; preserve original visit labels and origin.",timepoint,0,295,numeric_text,data_dictionary/sources/hr_vilage/meta/GSE73072_HRV_UVA_meta.csv,22de955990148bed48874c3255d9f632ea034148ded51edca5676990892c0f34,GSE73072_HRV_UVA,HF:meta/GSE73072_HRV_UVA_meta.csv,not inferred; use source-specific assay/time documentation
Categorical grouping of timepoints,data_dictionary/sources/hr_vilage/Meta_variable_description.csv,0,timepoint_group,,timepoint_group,295,0,all_missing_in_inspected_table,data_dictionary/sources/hr_vilage/meta/GSE73072_HRV_UVA_meta.csv,22de955990148bed48874c3255d9f632ea034148ded51edca5676990892c0f34,GSE73072_HRV_UVA,HF:meta/GSE73072_HRV_UVA_meta.csv,not inferred; use source-specific assay/time documentation
"Infection status grouping (e.g., infected vs. uninfected); represents the outcome in inoculation studies.",data_dictionary/sources/hr_vilage/Meta_variable_description.csv,2,infection_group,,infection_group,0,295,text_or_mixed,data_dictionary/sources/hr_vilage/meta/GSE73072_HRV_UVA_meta.csv,22de955990148bed48874c3255d9f632ea034148ded51edca5676990892c0f34,GSE73072_HRV_UVA,HF:meta/GSE73072_HRV_UVA_meta.csv,not inferred; use source-specific assay/time documentation
"Symptom severity group (e.g., symptomatic vs. asymptomatic); represents the outcome in inoculation studies.",data_dictionary/sources/hr_vilage/Meta_variable_description.csv,2,symptom_group,,symptom_group,0,295,text_or_mixed,data_dictionary/sources/hr_vilage/meta/GSE73072_HRV_UVA_meta.csv,22de955990148bed48874c3255d9f632ea034148ded51edca5676990892c0f34,GSE73072_HRV_UVA,HF:meta/GSE73072_HRV_UVA_meta.csv,not inferred; use source-specific assay/time documentation
